system:index,Biome_Type,Bulk_Density,Carbon_Content,Clay_Content,Human_Footprint,Max_DEF,Max_VPD,Pre_NDVI,Ref_ID,Sand_Content,TWI,aspect,dNBR,def,elevation,esa_lc_2021,event_start,gfc_lossyear,pdsi,pr,slope,soil,tmmx,vpd,.geo,Prob_Arc_1,Prob_Arc_2,Prob_Arc_3,Predicted_Dominant_Archetype
00000000000000000501,12.0,113.0,8.0,23.0,0.1344102919101715,1398.0,115.0,0.4439508487987522,1480,40.0,15.88860610652294,46.67394302489222,-0.0064301216148155,281.28125,1771.0,10,1994,6.0,-239.92708333333331,54.10416666666666,1.1685242652893066,566.75,123.48958333333331,47.35416666666666,"{""type"":""Point"",""coordinates"":[-0.5330008080194393,40.416997647763914]}",0.69947034,0.12664549,0.05789933,Archetype_1
00000000000000000541,5.0,124.0,10.0,18.0,0.390424907207489,638.0,60.0,0.1235588152733531,1552,45.0,12.540467797226231,177.43127391337595,0.0548088893809252,33.104166666666664,1920.0,10,2004,11.0,-178.83333333333334,83.55208333333333,16.108901977539062,183.69791666666663,44.04166666666666,23.64583333333333,"{""type"":""Point"",""coordinates"":[7.867000247249265,46.321997890598055]}",0.2566438,0.66840976,0.2812733,Archetype_2
00000000000000000038,12.0,117.0,6.0,19.0,0.2004867196083068,2215.0,186.0,0.4927908325568522,58,66.0,14.961933108195208,302.6931232280267,-0.0245536605627569,638.6041666666666,263.0,10,2010,24.0,-216.59375,83.33333333333333,1.2697548866271973,1212.5,230.30208333333331,92.02083333333331,"{""type"":""Point"",""coordinates"":[116.01934817323533,-32.797160912806106]}",0.09212973,0.6749616,0.2066013,Archetype_2
00000000000000000073,12.0,113.0,7.0,19.0,0.2767331004142761,2309.0,185.0,0.5978525032775451,130,63.0,14.23717244769302,221.84564632141613,0.0210102907826661,734.4791666666666,323.0,10,2010,19.0,-168.35416666666666,80.3125,0.8559058904647827,601.90625,227.89583333333331,92.25,"{""type"":""Point"",""coordinates"":[116.11767581056486,-32.227586557946296]}",0.24955629,0.06688638,0.88662416,Archetype_3
0000000000000000008c,12.0,114.0,7.0,17.0,0.2602582275867462,2324.0,185.0,0.5868794915509336,158,67.0,15.13262222302876,245.74174702578648,-0.0006833064074789341,729.15625,313.0,10,2010,24.0,-175.13541666666666,83.52083333333333,0.5643547177314758,569.4895833333334,226.67708333333331,91.69791666666669,"{""type"":""Point"",""coordinates"":[116.10219827080834,-32.33701289779787]}",0.066062294,0.4317138,0.22471097,Archetype_2
00000000000000000098,12.0,116.0,6.0,14.0,0.1922431588172912,2357.0,198.0,0.5836690111076478,171,72.0,16.67335884427443,246.10119361508436,0.0137784529527865,795.7708333333334,345.0,10,2010,15.0,-138.48958333333334,66.11458333333333,0.2623262107372284,416.84375,229.79166666666663,96.63541666666669,"{""type"":""Point"",""coordinates"":[116.31055422663167,-32.20409155449569]}",0.059716616,0.31400234,0.6998576,Archetype_3
000000000000000000bb,12.0,112.0,7.0,14.0,0.1930543482303619,2336.0,190.0,0.5990933550294628,208,72.0,15.623395916132331,230.8002047166376,0.0015917993398696,750.3958333333334,327.0,10,2010,19.0,-155.20833333333334,75.19791666666667,0.8559706211090088,458.5104166666667,226.53125,93.16666666666669,"{""type"":""Point"",""coordinates"":[116.21512946408791,-32.368012568321426]}",0.056722023,0.2916355,0.9215508,Archetype_3
000000000000000000d5,12.0,117.0,6.0,15.0,0.1206686720252037,2375.0,197.0,0.535561549455658,234,73.0,17.5214906359869,191.36222464975455,-0.0064117303081496,795.7604166666666,340.0,10,2010,17.0,-144.54166666666666,62.5625,0.5813955068588257,352.8958333333333,228.875,94.96875,"{""type"":""Point"",""coordinates"":[116.37695915951954,-32.510503142484275]}",0.17418127,0.41909128,0.23166265,Archetype_2
000000000000000000d6,12.0,117.0,6.0,15.0,0.1206686720252037,2375.0,197.0,0.535561549455658,235,73.0,17.5214906359869,191.36222464975455,-0.0064117303081496,795.7604166666666,340.0,10,2010,17.0,-144.54166666666666,62.5625,0.5813955068588257,352.8958333333333,228.875,94.96875,"{""type"":""Point"",""coordinates"":[116.37836377635139,-32.50442984684948]}",0.17418127,0.41909128,0.23166265,Archetype_2
000000000000000000d8,12.0,117.0,6.0,15.0,0.1206686720252037,2375.0,197.0,0.535561549455658,237,73.0,17.5214906359869,191.36222464975455,-0.0064117303081496,795.7604166666666,340.0,10,2010,17.0,-144.54166666666666,62.5625,0.5813955068588257,352.8958333333333,228.875,94.96875,"{""type"":""Point"",""coordinates"":[116.38414277131665,-32.51465456556504]}",0.17418127,0.41909128,0.23166265,Archetype_2
