system:index,Biome_Type,Bulk_Density,Carbon_Content,Clay_Content,Human_Footprint,Max_DEF,Max_VPD,Pre_NDVI,Ref_ID,Sand_Content,TWI,aspect,dNBR,def,elevation,esa_lc_2021,event_start,gfc_lossyear,pdsi,pr,slope,soil,tmmx,vpd,.geo
0000000000000000028d,12.0,152.0,2.0,26.0,0.7775065302848816,2036.0,172.0,0.15552083269393888,715,36.0,17.115438740334714,126.7737180180956,0.0066116001302237715,904.5833333333334,27.0,60,2013,,-144.98958333333334,26.989583333333332,0.6616457104682922,51.510416666666664,243.09375,92.5625,"{""type"":""Point"",""coordinates"":[-0.4499991010105977,38.400003550056624]}"
00000000000000000004,1.0,113.0,10.0,45.0,0.21106214821338654,1019.0,117.0,,5,37.0,14.948104170824207,171.80883911097266,,233.25,1400.0,10,1999,,-130.51041666666666,106.97916666666667,1.2882273197174072,501.5416666666667,279.8645833333333,70.32291666666667,"{""type"":""Point"",""coordinates"":[30.412304355492694,0.49162035024346146]}"
0000000000000000000b,12.0,114.0,7.0,14.0,0.12274498492479324,2022.0,160.0,0.636338602106844,13,73.0,16.17795591027853,68.93350937084396,-0.03234333219122121,597.15625,294.0,10,2010,,-362.3333333333333,66.01041666666667,0.1612681895494461,1415.28125,226.64583333333334,82.94791666666667,"{""type"":""Point"",""coordinates"":[115.94687440381365,-33.417939125062624]}"
00000000000000000014,12.0,115.0,8.0,18.0,0.052870627492666245,2132.0,175.0,0.5267185615741495,22,66.0,19.579936863460826,23.80553156206327,-0.05252535205453529,634.8125,219.0,10,2010,,-352.1875,69.125,1.4041699171066284,1414.9583333333333,234.52083333333334,89.85416666666667,"{""type"":""Point"",""coordinates"":[115.91043908910596,-33.367306032600744]}"
00000000000000000015,12.0,115.0,8.0,18.0,0.052870627492666245,2132.0,175.0,0.5267185615741495,23,66.0,19.579936863460826,23.80553156206327,-0.05252535205453529,634.8125,219.0,10,2010,,-352.1875,69.125,1.4041699171066284,1414.9583333333333,234.52083333333334,89.85416666666667,"{""type"":""Point"",""coordinates"":[115.91636077530494,-33.36594154767839]}"
00000000000000000017,12.0,115.0,8.0,18.0,0.052870627492666245,2132.0,175.0,0.5267185615741495,25,66.0,19.579936863460826,23.80553156206327,-0.05252535205453529,634.8125,219.0,10,2010,,-352.1875,69.125,1.4041699171066284,1414.9583333333333,234.52083333333334,89.85416666666667,"{""type"":""Point"",""coordinates"":[115.91689140833032,-33.36830487123672]}"
00000000000000000018,12.0,115.0,8.0,18.0,0.052870627492666245,2132.0,175.0,0.5267185615741495,26,66.0,19.579936863460826,23.80553156206327,-0.05252535205453529,634.8125,219.0,10,2010,,-352.1875,69.125,1.4041699171066284,1414.9583333333333,234.52083333333334,89.85416666666667,"{""type"":""Point"",""coordinates"":[115.91705193596819,-33.366944845415404]}"
0000000000000000001a,12.0,115.0,8.0,14.0,0.050655849277973175,2040.0,167.0,0.592378845750093,28,74.0,16.13192397284835,311.8207242087009,-0.034919593291411644,599.0,204.0,10,2010,,-346.21875,69.57291666666667,0.217335507273674,1496.2291666666667,230.92708333333334,85.77083333333333,"{""type"":""Point"",""coordinates"":[115.93418826131659,-33.35934653722034]}"
0000000000000000001b,12.0,113.0,8.0,16.0,0.059477247297763824,2087.0,172.0,0.5404332908450039,29,71.0,14.061284354589885,258.5857767392557,-0.037950068570350826,613.5729166666666,226.0,10,2010,,-351.2083333333333,68.95833333333333,1.7569422721862793,1460.9479166666667,231.65625,87.85416666666667,"{""type"":""Point"",""coordinates"":[115.93466984423038,-33.34103300919384]}"
00000000000000000024,12.0,119.0,7.0,18.0,0.08056479692459106,2109.0,180.0,0.5070965092958671,38,68.0,15.10989775139082,302.3434543073044,-0.04960456469263458,620.84375,261.0,10,2010,,-344.1458333333333,70.44791666666667,0.45146194100379944,1496.7916666666667,234.9375,91.1875,"{""type"":""Point"",""coordinates"":[115.93507562242624,-33.305872997387425]}"
0000000000000000003b,12.0,120.0,7.0,18.0,0.05226055160164833,2215.0,186.0,0.48461547190017307,61,67.0,22.635919273401896,239.51632868604332,-0.02298646906130608,638.6041666666666,222.0,10,2010,,-216.59375,83.33333333333333,0.26662731170654297,1212.5,230.30208333333334,92.02083333333333,"{""type"":""Point"",""coordinates"":[116.00844567115962,-32.75638243367234]}"
0000000000000000003d,12.0,120.0,7.0,18.0,0.05226055160164833,2215.0,186.0,0.48461547190017307,63,67.0,22.635919273401896,239.51632868604332,-0.02298646906130608,638.6041666666666,222.0,10,2010,,-216.59375,83.33333333333333,0.26662731170654297,1212.5,230.30208333333334,92.02083333333333,"{""type"":""Point"",""coordinates"":[116.00777234690057,-32.75416180134773]}"
0000000000000000003e,12.0,120.0,7.0,18.0,0.05226055160164833,2215.0,186.0,0.48461547190017307,64,67.0,22.635919273401896,239.51632868604332,-0.02298646906130608,638.6041666666666,222.0,10,2010,,-216.59375,83.33333333333333,0.26662731170654297,1212.5,230.30208333333334,92.02083333333333,"{""type"":""Point"",""coordinates"":[116.01277545828253,-32.75211507396419]}"
00000000000000000048,12.0,119.0,7.0,18.0,0.2049349695444107,2318.0,184.0,0.5084108176069978,74,69.0,18.60430007375502,270.0,-0.04663147079702562,697.1979166666666,274.0,10,2010,,-197.23958333333334,87.45833333333333,1.0549498796463013,765.2708333333334,230.25,92.69791666666667,"{""type"":""Point"",""coordinates"":[115.99705266796806,-32.623122198690105]}"
00000000000000000049,12.0,111.0,8.0,20.0,0.21653248369693756,2275.0,182.0,0.5395985942108318,75,63.0,15.502593498729144,145.05962492409896,-0.03417286706873657,675.6979166666666,305.0,10,2010,,-199.01041666666666,87.97916666666667,0.20035719871520996,881.7604166666666,228.28125,91.22916666666667,"{""type"":""Point"",""coordinates"":[115.99932680950533,-32.6273761810951]}"
0000000000000000004a,12.0,119.0,7.0,18.0,0.2049349695444107,2318.0,184.0,0.5084108176069978,76,69.0,18.60430007375502,270.0,-0.04663147079702562,697.1979166666666,274.0,10,2010,,-197.23958333333334,87.45833333333333,1.0549498796463013,765.2708333333334,230.25,92.69791666666667,"{""type"":""Point"",""coordinates"":[115.99563467383308,-32.61816813741973]}"
0000000000000000004b,12.0,119.0,7.0,18.0,0.2049349695444107,2318.0,184.0,0.5084108176069978,77,69.0,18.60430007375502,270.0,-0.04663147079702562,697.1979166666666,274.0,10,2010,,-197.23958333333334,87.45833333333333,1.0549498796463013,765.2708333333334,230.25,92.69791666666667,"{""type"":""Point"",""coordinates"":[115.99482757654245,-32.60119233970926]}"
0000000000000000004c,12.0,119.0,7.0,18.0,0.2049349695444107,2318.0,184.0,0.5084108176069978,78,69.0,18.60430007375502,270.0,-0.04663147079702562,697.1979166666666,274.0,10,2010,,-197.23958333333334,87.45833333333333,1.0549498796463013,765.2708333333334,230.25,92.69791666666667,"{""type"":""Point"",""coordinates"":[115.9972622457176,-32.59949342220791]}"
000000000000000000da,12.0,108.0,7.0,17.0,0.27389389276504517,2336.0,192.0,0.5271974708046847,239,69.0,14.654867719437467,235.37807151153558,-0.012367256088425038,745.15625,331.0,10,2010,,-171.23958333333334,63.552083333333336,0.5441337823867798,575.46875,228.64583333333334,92.75,"{""type"":""Point"",""coordinates"":[116.29651697651543,-32.70621754682108]}"
000000000000000000db,12.0,108.0,7.0,17.0,0.27389389276504517,2336.0,192.0,0.5271974708046847,240,69.0,14.654867719437467,235.37807151153558,-0.012367256088425038,745.15625,331.0,10,2010,,-171.23958333333334,63.552083333333336,0.5441337823867798,575.46875,228.64583333333334,92.75,"{""type"":""Point"",""coordinates"":[116.29286943185367,-32.706922084787514]}"
000000000000000000e0,8.0,140.0,1.0,27.0,0.017657488584518433,2481.0,363.0,0.1307179689208277,245,64.0,16.784074722053393,128.09712778585046,0.005098711702568079,1258.5208333333333,264.0,10,2003,,23.375,32.71875,0.10961078852415085,21.4375,296.4375,201.91666666666666,"{""type"":""Point"",""coordinates"":[144.5800018980825,-26.354999520669665]}"
000000000000000000e4,12.0,142.0,2.0,17.0,0.6061564087867737,2443.0,216.0,0.15257095290179365,250,75.0,16.26126713188736,242.97985369975862,-0.016784009778593414,1050.5,330.0,10,2002,,-135.21875,25.614583333333332,0.4253183603286743,57.46875,236.1875,109.22916666666667,"{""type"":""Point"",""coordinates"":[117.87629621593231,-32.73249948843008]}"
000000000000000000e6,12.0,121.0,6.0,16.0,0.13486000895500183,2498.0,206.0,0.3289485589046625,253,73.0,15.32813511963434,234.77095666846498,-0.03322863968196732,942.46875,353.0,10,2002,,-90.04166666666667,37.802083333333336,0.35171595215797424,167.26041666666666,230.25,102.92708333333333,"{""type"":""Point"",""coordinates"":[116.89369762599708,-32.78270004808977]}"
